ID,productName,category,price,description,image
"e3b0c442-98fc-1c14-9fb0-c4e9b3c77c63","Laptop","Electronics",999.01,"High-performance laptop for professionals","https://i.ibb.co/WWfNSgp/openui5.png"
"fe3a9ec0-93d6-2f3b-ad7c-c8f330b7606c","Smartphone","Electronics",599.01,"Latest model with advanced features","https://i.ibb.co/WWfNSgp/openui5.png"
"b4e9b3c7-7c63-4e3b-0c44-29fc1c149fb0","Coffee Maker","Home Appliances",49.01,"Brews perfect coffee every time","https://i.ibb.co/WWfNSgp/openui5.png"
"cae9d442-01ab-3c45-b6fd-d9e7b5a4c9e3","Tablet","Electronics",299.99,"Compact and powerful tablet","https://i.ibb.co/WWfNSgp/openui5.png"
"d9e8b5c6-39d1-4f9b-ae56-2d6f8b5c7e9d","Microwave Oven","Home Appliances",149.00,"Quick and efficient cooking","https://i.ibb.co/WWfNSgp/openui5.png"
"ab1d3e2b-5c6f-4d3f-9a6c-1d2f5b4c6e8b","Gaming Console","Electronics",499.99,"Next-gen gaming experience","https://i.ibb.co/WWfNSgp/openui5.png"
"c8d1b9f3-2e4a-4c5f-9a6b-0d2e4f5b6c8d","Air Fryer","Home Appliances",89.99,"Healthy and delicious meals","https://i.ibb.co/WWfNSgp/openui5.png"
"f6e2d9a1-3c4b-5d7e-9a8b-1c2d3e4f6a7b","Smartwatch","Electronics",199.99,"Keep track of your health and notifications","https://i.ibb.co/WWfNSgp/openui5.png"
"e1c3d5a7-2b4f-6d8a-9c2d-0e3d4f5b6a8c","Refrigerator","Home Appliances",799.00,"Spacious and energy-efficient","https://i.ibb.co/WWfNSgp/openui5.png"
"b5a4c6d8-1e2f-3d4b-5c6a-9d2e3f4b6a7c","Bluetooth Speaker","Electronics",59.99,"Portable and powerful sound","https://i.ibb.co/WWfNSgp/openui5.png"
